domain,domain_description,band,universal_meaning,what_qualifies_in_this_domain,decision_test,most_likely_mistake
ai,"AI, Technology & Innovation",MUST_READ,"Changes a decision THIS WEEK. Material, credible, and it would be negligent not to know.","A capability, security or regulatory shift that changes build-vs-buy or vendor risk this quarter. A major AI security incident.",Does this change a technology decision already in flight?,Model-release excitement. A new model is IMPORTANT unless it changes your plan.
ai,"AI, Technology & Innovation",IMPORTANT,"Changes how you think. You would want it in the brief, but no action is due today.","Frontier releases, large AI investment, AI liability or copyright precedent, concentration risk in a vendor you depend on.",Does it change the vendor landscape or the legal exposure?,Missing legal precedent because it reads as a court story.
ai,"AI, Technology & Innovation",WATCH,"A live thread worth tracking. Nothing to do yet, but it could become something.","Partnerships, infrastructure buildout, research direction, talent moves.",Is this the early shape of something?,Over-collecting vendor press releases.
ai,"AI, Technology & Innovation",BACKGROUND,"True and relevant, but inert. It informs context, it does not move anything.","Incremental product features, benchmark chatter, funding for small players.",Interesting but not consequential?,None.
ai,"AI, Technology & Innovation",IGNORE,"You would skip it. Noise, off-domain, or a routine column rather than a development.","Gadget reviews, consumer app news, AI think-pieces with no specific claim.",Is there an actual event here?,Keeping opinion because the topic is hot.
gcc,"GCC & Enterprise Technology — Global Capability Centers, India, shared services",MUST_READ,"Changes a decision THIS WEEK. Material, credible, and it would be negligent not to know.","Policy, tax or labour-law change affecting GCC operations, especially with a compliance deadline or a penalty precedent.",Is there a date by which something must change?,Missing compliance stories because they read as HR news.
gcc,"GCC & Enterprise Technology — Global Capability Centers, India, shared services",IMPORTANT,"Changes how you think. You would want it in the brief, but no action is due today.","GCC market structure — leasing, headcount trends, state incentives, new entrants, wage inflation.",Does it change the cost or feasibility of the operating model?,Under-rating real-estate and talent data as 'soft'.
gcc,"GCC & Enterprise Technology — Global Capability Centers, India, shared services",WATCH,"A live thread worth tracking. Nothing to do yet, but it could become something.","Individual company GCC expansions, university and talent partnerships, city-level incentives.",Is a location or capability trend forming?,Collecting every expansion notice.
gcc,"GCC & Enterprise Technology — Global Capability Centers, India, shared services",BACKGROUND,"True and relevant, but inert. It informs context, it does not move anything.","Routine India IT-services earnings, generic offshoring commentary.",Is this the sector's regular news flow?,None.
gcc,"GCC & Enterprise Technology — Global Capability Centers, India, shared services",IGNORE,"You would skip it. Noise, off-domain, or a routine column rather than a development.","Generic tech-jobs content, careers advice.",Is this for a jobseeker rather than an operator?,None.
insurance,Insurance & Financial Services,MUST_READ,"Changes a decision THIS WEEK. Material, credible, and it would be negligent not to know.","A market pricing turn (rates hardening or softening), a cat event with insured-loss implications, a regulatory change touching capital or conduct, or a coverage precedent that moves reserves.","Does this change pricing, capacity, reserves or capital?",Missing rate-movement stories. 'Property rates down 12%' looks like a statistic and is in fact the most actionable line of the day.
insurance,Insurance & Financial Services,IMPORTANT,"Changes how you think. You would want it in the brief, but no action is due today.","Reinsurer results signalling capacity, mass-tort developments, competitor market entry, cat-season forecasts, large verdicts indicating social inflation.",Does it change the outlook for a line of business?,Treating large jury awards as legal trivia rather than severity signal.
insurance,Insurance & Financial Services,WATCH,"A live thread worth tracking. Nothing to do yet, but it could become something.","Insurtech and product launches, broker leadership moves, rating actions, individual carrier results.",Is this a competitor or capability signal?,Over-weighting vendor launches.
insurance,Insurance & Financial Services,BACKGROUND,"True and relevant, but inert. It informs context, it does not move anything.","Small claims stories, local fraud prosecutions, minor regional results, single property losses.",Is this one claim rather than a pattern?,Promoting fraud prosecutions because they are insurance-shaped.
insurance,Insurance & Financial Services,IGNORE,"You would skip it. Noise, off-domain, or a routine column rather than a development.","Book and product listings, 'People:' columns with no material name, tax-fact editions.",Is this a catalogue entry?,Keeping trade-press filler because the source is trusted.
executive,Executive & Leadership,MUST_READ,"Changes a decision THIS WEEK. Material, credible, and it would be negligent not to know.","A CEO or board change at a major counterparty, competitor or sector bellwether — it changes who you deal with, or signals distress.",Does the identity of the person on the other side of the table change?,Over-promoting appointments. Most are WATCH.
executive,Executive & Leadership,IMPORTANT,"Changes how you think. You would want it in the brief, but no action is due today.","Senior leadership change at a named competitor or partner; governance action with consequence (fines, board censure, succession disputes).",Does it signal strategy or trouble?,"Missing governance penalties, which read as compliance minutiae."
executive,Executive & Leadership,WATCH,"A live thread worth tracking. Nothing to do yet, but it could become something.","Notable appointments within your sector, especially in lines you compete in.",Is this someone you will encounter?,None — most appointments belong here.
executive,Executive & Leadership,BACKGROUND,"True and relevant, but inert. It informs context, it does not move anything.",Routine appointment announcements at unrelated firms.,Would you recognise the company?,None.
executive,Executive & Leadership,IGNORE,"You would skip it. Noise, off-domain, or a routine column rather than a development.","'People moves' roundups with no material name, obituaries, awards.",Is this a column rather than a change?,None.
