domain,band,score,publisher,title,why_this_domain,events,age_hours,url
global,WATCH,62.3,Al Jazeera,Houthis want to copy Iran’s Hormuz control in the Red Sea: Yemeni FM,"red sea, iran, hormuz",,3.3,https://www.aljazeera.com/news/2026/7/28/houthis-want-to-copy-irans-hormuz-control-in-the-red-sea-yemeni-fm?traffic_source=rss
global,WATCH,60.4,BBC News,Ukraine dismisses Iranian threats as Caspian Sea strike directly links wars,"iran, ukraine, wars, iranian, caspian",,11.61,https://www.bbc.co.uk/news/articles/cwyj7yl0xndo?at_medium=RSS&at_campaign=rss
global,WATCH,60.3,Al Jazeera,Iran war live: Trump says ‘friendly’ talks ongoing; Netanyahu arrives in US,"war, iran",,4.17,https://www.aljazeera.com/news/liveblog/2026/7/28/iran-war-live-trump-touts-friendly-talks-netanyahu-arrives-in-us?traffic_source=rss
global,WATCH,59.7,BBC News,Trump says Iran war talks taking place during lull in strikes,"war, iran, strikes",,6.98,https://www.bbc.co.uk/news/articles/c62xn4vzmnpo?at_medium=RSS&at_campaign=rss
global,BACKGROUND,59.0,Al Jazeera,Has Burnham kept his promise to do better on Israel’s war on Gaza?,"war, israel, gaza",,7.95,https://www.aljazeera.com/video/newsfeed/2026/7/27/has-burnham-kept-his-promise-to-do-better-on-israels-war-on-gaza?traffic_source=rss
global,BACKGROUND,58.7,Al Jazeera,UN eyeing potential Israeli war crimes in Lebanon,"war, israel, israeli",,8.62,https://www.aljazeera.com/news/2026/7/27/un-eyeing-potential-israeli-war-crimes-in-lebanon?traffic_source=rss
global,BACKGROUND,58.4,BBC News,"As the US pauses the war with Iran, is Trump really running out of weapons?","war, iran",,7.05,https://www.bbc.co.uk/news/articles/c0qvnk2ezp7o?at_medium=RSS&at_campaign=rss
global,BACKGROUND,58.4,Al Jazeera,Unreleased footage reveals Lindsey Graham’s push for war on Iran,"war, iran",,8.01,https://www.aljazeera.com/video/newsfeed/2026/7/27/unreleased-footage-reveals-lindsey-grahams-push-for-war-on-iran?traffic_source=rss
global,BACKGROUND,57.4,The Guardian,US pauses Iran attacks after Trump advised to halt bombing,"diplomatic, military, war, oil, iran, strikes",,21.6,https://www.theguardian.com/world/2026/jul/26/us-pauses-trump-netanyahu-attacks-on-iran-talks-hormuz
global,BACKGROUND,56.7,BBC News,More than 600 US military service members injured since Iran War began in February,"military, war, iran",,14.63,https://www.bbc.co.uk/news/articles/c998pzd1e8xo?at_medium=RSS&at_campaign=rss
global,BACKGROUND,56.4,The Guardian,"‘You say genocide, I say war’: Boy George releases pro-Israel song, We Will Dance Again","military, war, israel, palestine",,13.65,https://www.theguardian.com/music/2026/jul/27/you-say-genocide-i-say-war-boy-george-releases-pro-israel-song-we-will-dance-again
global,BACKGROUND,56.0,Insurance Journal,Viewpoint: Research Shows Australia Is Vulnerable to Attacks on Indian Ocean Shipping,"strait of hormuz, war, trade, iran, hormuz",,16.27,https://www.insurancejournal.com/news/international/2026/07/27/879138.htm
global,BACKGROUND,55.4,BBC News,Oil price dives as US and Iran pause attacks,"conflict, oil, iran",,13.02,https://www.bbc.co.uk/news/articles/clyj834jn5lo?at_medium=RSS&at_campaign=rss
global,BACKGROUND,54.6,Insurance Journal,Saudi Arabia-Bound Supertanker U-Turns Before Houthi Chokepoint,"houthi, red sea",,23.08,https://www.insurancejournal.com/news/international/2026/07/27/879009.htm
global,BACKGROUND,54.3,Insurance Journal,Trump’s New Tariffs Prompt Lawsuit From Small Businesses,"tariffs, trade",,22.88,https://www.insurancejournal.com/news/national/2026/07/27/879045.htm
global,BACKGROUND,53.8,The Times of India,"Oil on edge, rupee steady: How geopolitics and RBI are lifting the currency ahead of Monetary policy committee meeting","geopolitics, oil",,16.26,https://timesofindia.indiatimes.com/business/india-business/oil-on-edge-rupee-steady-how-geopolitics-and-rbi-are-lifting-the-currency-ahead-of-monetary-policy-committee-meeting/articleshow/132660801.cms
global,BACKGROUND,53.6,The Guardian,Netanyahu accuses Mamdani of ‘fomenting hate’ in calls for PM’s arrest,"war, israel, gaza, prime minister, israeli",,31.44,https://www.theguardian.com/us-news/2026/jul/26/netanyahu-mamdani-icc-arrest-gaza-war-united-nations
insurance,MUST_READ,97.6,Insurance Journal,Why El Niño’s Promise of Quieter Hurricane Season May Not Be Good News for Insurers,"insurers, risk",NATURAL_DISASTER,17.62,https://www.insurancejournal.com/news/international/2026/07/27/879132.htm
insurance,MUST_READ,97.0,Claims Journal,El Niño’s Promise of Quieter Hurricane Season May Not Guarantee Good News for Insurers,"insurers, risk",NATURAL_DISASTER,17.11,https://www.claimsjournal.com/news/national/2026/07/27/339071.htm
insurance,IMPORTANT,81.8,Reinsurance News,"IGP Specialty names David Nikolai as President, Programs Division","underwriting, insurer, insurance, broker, risk",EXECUTIVE_APPOINTMENT,15.65,https://www.reinsurancene.ws/igp-specialty-names-david-nikolai-as-president-programs-division/
insurance,WATCH,78.3,Business Insurance,Aon unveils AI risk diagnostic tool,"risk, aon",PRODUCT_LAUNCH,10.69,https://www.businessinsurance.com/aon-unveils-ai-risk-diagnostic-tool/
insurance,WATCH,72.2,Reinsurance News,Pinion Insurance launches proprietary data interchange platform for MGAs,"insurer, insurance, mga, mgas",PRODUCT_LAUNCH,17.16,https://www.reinsurancene.ws/pinion-insurance-launches-proprietary-data-interchange-platform-for-mgas/
insurance,WATCH,60.0,Business Insurance,Global property rates down 12% Q2: Marsh Risk,"insurance, risk, property rates, marsh",,13.65,https://www.businessinsurance.com/global-property-rates-down-12-q2-marsh-risk/
insurance,BACKGROUND,59.4,Business Insurance,Gallagher names Hewitt to lead multinational risk,"risk, gallagher",,8.66,https://www.businessinsurance.com/gallagher-names-hewitt-to-lead-multinational-risk/
insurance,BACKGROUND,58.4,Insurance Journal,"Hispanic Neighborhoods in Florida Pay Much Higher Premiums, Consumer Group Says","policyholders, premiums, insurance",,23.12,https://www.insurancejournal.com/news/southeast/2026/07/27/879023.htm
insurance,BACKGROUND,58.4,Reinsurance News,S&P upgrades West P&I to A- financial strength rating,"underwriting, insurer, insurance, indemnity",,14.16,https://www.reinsurancene.ws/sp-upgrades-west-pi-to-a-financial-strength-rating/
insurance,BACKGROUND,56.7,Business Insurance,Insurers win coverage fight over Harris Teeter’s share of opioid settlement,"insurers, coverage",,11.7,https://www.businessinsurance.com/insurers-win-coverage-fight-over-harris-teeters-share-of-opioid-settlement/
insurance,BACKGROUND,56.6,Reinsurance News,Selective Insurance Q2’26 net income increases to $127.1m,"insurance, combined ratio",,17.66,https://www.reinsurancene.ws/selective-insurance-q226-net-income-increases-to-127-1m/
insurance,BACKGROUND,56.4,Business Insurance,Coupang warehouse fire triggers liability questions,"insurance, liability",,13.67,https://www.businessinsurance.com/coupang-warehouse-fire-triggers-liability-questions/
insurance,BACKGROUND,54.4,Business Insurance,Lloyd’s insurers pull cover for Saudi-linked vessels,"insurers, coverage, lloyd's, risk",,13.7,https://www.businessinsurance.com/lloyds-insurers-pull-cover-for-saudi-linked-vessels/
insurance,BACKGROUND,54.0,Reinsurance News,Tunis Re premiums increase 2.2% in H1’26,"reinsurance, reinsurer, premiums",,15.16,https://www.reinsurancene.ws/tunis-re-premiums-increase-2-2-in-h126/
